adapt_lr,meta_lr,k_adapt_steps,N_patient_group,query_set,suport_set,loss,elapsed_time_min
0.01,0.005,10,4,10,5,0.31397244334220886,4.42
0.02,0.005,1,4,10,5,0.32022956013679504,4.6
0.02,0.005,1,6,10,5,0.32329580187797546,4.47
0.01,0.005,1,4,10,5,0.3254351317882538,4.32
0.001,0.005,10,4,10,5,0.32756224274635315,4.66
0.005,0.005,10,4,10,5,0.3291967511177063,4.5
0.005,0.005,1,4,10,5,0.3293347954750061,4.68
0.001,0.005,3,4,10,5,0.33050695061683655,4.85
0.001,0.005,1,4,10,5,0.33053717017173767,4.42
0.02,0.005,3,4,10,5,0.33113306760787964,4.22
0.02,0.005,5,4,10,5,0.3324526846408844,4.47
0.01,0.005,5,4,10,5,0.332494854927063,4.46
0.001,0.005,5,4,10,5,0.3335709273815155,4.48
0.02,0.005,10,4,10,5,0.335173636674881,5.07
0.01,0.005,3,4,10,5,0.33617132902145386,4.51
0.01,0.005,1,6,10,5,0.33805161714553833,4.55
0.005,0.005,5,4,10,5,0.34255659580230713,4.8
0.02,0.001,1,6,10,5,0.3427138924598694,5.2
0.001,0.001,3,4,10,5,0.34427013993263245,4.45
0.02,0.005,5,6,10,5,0.3448868989944458,4.78
0.005,0.005,3,4,10,5,0.3458307683467865,4.43
0.001,0.001,1,4,10,5,0.34617820382118225,4.83
0.005,0.005,1,6,10,5,0.34631508588790894,4.6
0.005,0.001,1,4,10,5,0.34656548500061035,4.49
0.01,0.001,10,4,10,5,0.3468961715698242,4.46
0.01,0.001,1,6,10,5,0.3474811315536499,4.68
0.01,0.001,1,4,10,5,0.34867000579833984,4.28
0.005,0.001,3,4,10,5,0.34973105788230896,4.47
0.02,0.001,10,4,10,5,0.35132917761802673,4.35
0.01,0.001,3,4,10,5,0.3537420928478241,4.5
0.005,0.001,1,6,10,5,0.3545462191104889,4.88
0.02,0.0005,1,6,10,5,0.3547438979148865,4.46
0.001,0.001,1,6,10,5,0.35495612025260925,4.56
0.02,0.001,1,4,10,5,0.35510483384132385,5.32
0.001,0.001,10,4,10,5,0.355528861284256,4.68
0.005,0.0005,3,4,10,5,0.35706254839897156,4.69
0.005,0.001,10,4,10,5,0.35743439197540283,4.95
0.001,0.005,1,6,10,5,0.3590540587902069,4.98
0.01,0.0005,1,6,10,5,0.3596639037132263,4.53
0.001,0.001,5,6,10,5,0.36019614338874817,4.39
0.02,0.001,3,4,10,5,0.36090952157974243,5.58
0.01,0.0005,3,4,10,5,0.36128905415534973,4.76
0.001,0.0005,3,4,10,5,0.36204993724823,5.82
0.01,0.005,10,6,10,5,0.3624621629714966,4.65
0.01,0.005,5,6,10,5,0.3633509576320648,4.55
0.02,0.005,3,6,10,5,0.36356857419013977,4.61
0.02,0.005,10,6,10,5,0.3649030327796936,4.71
0.005,0.0005,1,6,10,5,0.3653264045715332,4.44
0.001,0.0005,1,6,10,5,0.3653549253940582,6.42
0.001,0.005,5,6,10,5,0.36570948362350464,4.45
0.005,0.005,5,6,10,5,0.3657815754413605,4.4
0.001,0.005,10,6,10,5,0.3670981824398041,4.75
0.005,0.005,10,6,10,5,0.367367148399353,4.96
0.001,0.001,3,6,10,5,0.36936578154563904,4.5
0.005,0.001,5,6,10,5,0.37013766169548035,4.73
0.001,0.001,10,6,10,5,0.3703012466430664,4.83
0.01,0.001,3,6,10,5,0.3704018294811249,4.15
0.001,0.0005,5,6,10,5,0.3711397051811218,4.63
0.005,0.0005,1,4,10,5,0.37150612473487854,4.74
0.02,0.001,3,6,10,5,0.3718857765197754,5.57
0.01,0.001,5,6,10,5,0.37188956141471863,4.44
0.005,0.0005,3,6,10,5,0.37199950218200684,4.54
0.005,0.001,3,6,10,5,0.37219542264938354,4.86
0.001,0.0005,3,6,10,5,0.37345486879348755,4.95
0.01,0.0005,5,6,10,5,0.3738502264022827,4.35
0.02,0.001,5,6,10,5,0.3744732737541199,5.08
0.01,0.0005,1,4,10,5,0.3744984269142151,4.42
0.02,0.0005,3,6,10,5,0.3753098249435425,4.63
0.01,0.0005,3,6,10,5,0.37537792325019836,4.44
0.01,0.005,3,6,10,5,0.3761797845363617,4.48
0.001,0.0005,1,4,10,5,0.37619346380233765,6.76
0.02,0.0005,5,6,10,5,0.3761953115463257,4.58
0.005,0.001,5,4,10,5,0.37659671902656555,4.65
0.02,0.0005,3,4,10,5,0.3766009509563446,4.64
0.005,0.0005,5,6,10,5,0.3778521418571472,4.55
0.001,0.0005,10,6,10,5,0.37944626808166504,4.99
0.005,0.001,10,6,10,5,0.3796001970767975,4.59
0.001,0.005,3,6,10,5,0.3798448443412781,4.72
0.01,0.001,5,4,10,5,0.3806988298892975,4.34
0.001,0.001,5,4,10,5,0.38159510493278503,4.59
0.02,0.0005,10,4,10,5,0.38166531920433044,5.01
0.02,0.0005,1,4,10,5,0.38169267773628235,5.0
0.01,0.001,10,6,10,5,0.38231781125068665,4.57
0.01,0.0005,10,6,10,5,0.3826032280921936,4.34
0.005,0.005,3,6,10,5,0.38366711139678955,4.63
0.01,0.0005,10,4,10,5,0.38373199105262756,4.59
0.02,0.001,10,6,10,5,0.38410696387290955,4.66
0.02,0.001,5,4,10,5,0.3845580220222473,5.15
0.005,0.0005,10,6,10,5,0.3852420747280121,4.41
0.005,0.0005,10,4,10,5,0.3857571482658386,4.63
0.01,0.0001,1,6,10,5,0.3871266841888428,4.61
0.02,0.0005,10,6,10,5,0.387201189994812,4.91
0.005,0.0001,1,6,10,5,0.38795188069343567,4.68
0.02,0.0001,1,6,10,5,0.38931965827941895,4.51
0.001,0.0001,1,6,10,5,0.3893481492996216,5.82
0.001,0.0005,10,4,10,5,0.3905293941497803,4.82
0.02,0.0001,1,4,10,5,0.3941514194011688,4.43
0.001,0.0001,1,4,10,5,0.3944031000137329,6.11
0.02,0.0005,5,4,10,5,0.39705705642700195,4.86
0.001,0.0005,5,4,10,5,0.397302508354187,5.38
0.01,0.0001,1,4,10,5,0.3974425196647644,4.84
0.005,0.0001,1,4,10,5,0.3979704976081848,4.53
0.02,0.0005,10,10,10,5,0.4008035659790039,5.66
0.005,0.0005,5,4,10,5,0.4018060564994812,4.41
0.01,0.0005,5,4,10,5,0.40449875593185425,4.6
0.001,0.0001,10,6,10,5,0.4055593013763428,6.51
